reach_id,x,y,facc,type,lakeflag,width,mp,dist,name,nch,fetched
81310800023,-160.0354038673302,66.62165929537014,11610.170033273662,3,3,175.0,7001633,14.132088201173435,Selawik River,2,True
81310800031,-159.95652547295865,66.56350449526298,11191.233969294832,1,0,319.0,7001633,15.549020696696635,Selawik River,3,True
81310800041,-159.9299084011217,66.56398299457105,11148.16577580168,1,0,292.0,7001633,16.654518200540863,Selawik River,3,True
81310800053,-159.87374498583173,66.5568034607813,11113.90698552304,3,3,333.0,7001633,22.141106717108638,Selawik River,2,True
81310800061,-159.69915148507536,66.57003769539787,10956.316550241283,1,0,256.0,7001633,36.73027683341194,Selawik River,2,True
81310800016,-160.17417518014182,66.63304715755127,11616.04296875,6,3,366.0,7001633,0.15586741128458734,Selawik River,1,False
81320100113,-160.4466503283005,66.94916258182077,31314.5319,1,0,600.0,7000490,100.5094200415978,NODATA,3,True
81320100101,-160.5053956397668,66.9379196982149,31314.5319,1,0,503.0,7000490,97.9638168978447,NODATA,4,True
81320100091,-160.55621633072894,66.91892111704665,31314.5319,1,0,664.5,7000490,94.19206613918804,NODATA,3,True
81320100083,-160.5976861701076,66.90797624263627,31314.5319,3,3,969.0,7000490,91.72799100060949,NODATA,4,True
81320100071,-160.62765592258538,66.9049842504922,31314.5319,1,0,600.0,7000490,89.94147991155357,NODATA,3,True
81320100061,-160.6751875762126,66.90333086181509,31314.5319,1,0,841.0,7000490,88.84876515319777,NODATA,4,True
81320100051,-160.72521933404016,66.90314257144513,31314.5319,1,0,705.5,7000490,85.74563379208365,NODATA,3,True
81320100041,-160.76243531479832,66.90589343435612,31314.5319,1,0,610.5,7000490,84.35200118527082,NODATA,4,True
81320100175,-161.08159536448935,66.78893339829519,15161.847,5,3,254.0,7000490,40.77359079099205,NODATA,1,True
81320100025,-160.99529037074655,66.84293751345015,23339.6936,5,3,331.0,7000490,69.97054957168501,NODATA,3,True
81320100165,-161.08054907254785,66.7525811696884,15161.847,5,3,277.0,7000490,30.59660219131521,NODATA,1,True
81320100155,-161.17755139011277,66.71759718996454,15161.847,5,3,284.0,7000490,20.377241327163567,NODATA,1,True
81320100145,-161.29519336963793,66.6532698297611,15161.847,5,3,331.0,7000490,10.194525516208916,NODATA,2,True
81320100035,-160.89145634073253,66.88697055726992,23339.6936,5,3,439.0,7000490,82.32755272697162,NODATA,4,True
81320100125,-160.89899308178104,66.9205058618977,7974.8384,5,3,150.0,7001381,65.17612385286252,NODATA,3,True
81330000156,-161.3390350338468,66.6131746823728,15161.847,6,3,318.0,7000490,0.18912986455027275,NODATA,3,False
81320200011,-160.40253711714894,67.01500076702675,4711.8379,1,0,184.0,7002175,117.42830857115624,Squirrel River,7,True
81320200021,-160.53670882849374,67.08291649777725,4181.4292,1,0,137.0,7002175,130.13432858627723,Squirrel River,2,True
81320200031,-160.7172174517957,67.10329363377461,3799.494,1,0,101.0,7002175,149.9234420836688,Squirrel River,2,True
81320200041,-160.8809609723441,67.10763110009717,3189.2168,1,0,117.0,7002175,160.59232300592947,Squirrel River,2,True
81320200051,-161.002173878015,67.1351621374282,2855.4075,1,0,92.0,7002175,171.21839346352598,Squirrel River,2,True
81320200061,-161.1470623424646,67.17160540863165,2059.7158203125,1,0,92.0,7003057,189.88414447997388,Squirrel River,2,False
81320300011,-160.29778040190644,66.95407168640527,26279.3923,1,0,716.0,7000490,111.97769635027613,NODATA,4,True
81320300021,-160.05622209692217,66.98706910821528,26094.0796,1,0,509.0,7000490,123.49497648488358,NODATA,3,True
81320300031,-159.83798493297087,67.0448190054881,25917.3978,1,0,334.5,7000490,138.61557822612963,NODATA,2,True
81320300041,-159.66818761818993,67.10379869607337,25688.93,1,0,298.0,7000490,149.8699096954425,NODATA,3,True
81320100015,-161.128510342434,66.81542128967754,8177.8466,5,3,137.0,7000383,57.54990862116695,NODATA,2,False
81330000085,-161.22966110552636,66.77803976272824,8177.8466,5,3,171.0,7000383,47.101252407810115,NODATA,2,False
81330000075,-161.3782738430451,66.75298482321804,8205.9515,5,3,67.84921264648438,7000383,36.601868353320725,NODATA,1,False
81330000115,-161.56082362091502,66.83868998798604,7974.8384,5,3,108.0,7001381,19.04113757824816,NODATA,1,True
81330000105,-161.39662743165138,66.88406764834366,7974.8384,5,3,170.0,7001381,29.748196764209162,NODATA,2,True
81330000095,-161.1898975563031,66.8834091477048,7974.8384,5,3,213.5,7001381,40.478707177744816,NODATA,2,True
81320100135,-161.02737349725115,66.91685487458511,7974.8384,5,3,148.0,7001381,51.18741184275296,NODATA,1,True
81330000065,-161.5572711859059,66.74804308803022,8233.6558,5,3,123.0,7000383,21.678720978035212,NODATA,1,False
81330000055,-161.76180196851325,66.73101008151976,8261.5301,5,3,93.0,7000383,10.835744269715429,NODATA,1,False
81330000135,-161.32862718583928,66.72381387094927,28.104860305786133,5,3,63.0,7003121,49.503339746344956,NODATA,1,False
81330000126,-161.66847105148867,66.80352677723441,7974.8384,6,3,129.0,7001381,0.19108586924245874,NODATA,1,False
81330000046,-161.84948184884587,66.71531339535714,8261.955,6,3,63.0,7000383,0.14741402201070045,NODATA,1,False
81330000146,-161.45840727636022,66.71799166432585,22.05362319946289,6,3,54.0,7003121,49.70103290320007,NODATA,1,False
81330000023,-162.50866173168745,66.99740557181757,62091.0082,3,3,1035.0,7000142,2.931925232964411,Noatak River,3,True
81330000031,-162.43816614528592,67.05781732783575,61950.809,1,0,769.0,7000142,15.22151315327416,Noatak River,4,True
81340100011,-162.39912876687904,67.14057221229862,61345.9962,1,0,746.0,7000142,27.565023424741817,Noatak River,8,True
81340100021,-162.53857315234373,67.18210912022029,60716.7301,1,0,345.0,7000142,46.55436066876221,Noatak River,5,True
81330000016,-162.50677181502664,66.98498862022939,62100.7895,6,3,298.5,7000142,0.16196002379073476,Noatak River,1,False
