lon,lat,v17_reach_id,v16_reach_id,boundary_flag,boundary_percent,dominant reach,v16 number of reaches
-96.00052711748184,59.4589348032998,71120000303,71120000013,0,0,0,0
-95.96727340948695,59.39712829193917,71120000273,71120000043,0,0,0,0
-95.97452520816844,59.407940939676486,71120000283,71120000053,0,0,0,0
-95.98176957560261,59.4339642486952,71120000293,71120000063,0,0,0,0
-94.78855314082814,59.33420448761631,71130000021,71130000071,0,0,0,0
-94.79690286361169,59.34552579336605,71120000013,71120000083,0,0,0,0
-94.79600804114561,59.36104032272737,71120000021,71120000091,0,0,0,0
-94.88507650122402,59.379030627176505,71120000031,71120000101,0,0,0,0
-95.00403240525054,59.38343300466279,71120000041,71120000111,0,0,0,0
-95.14732871126719,59.39236414114621,71120000051,71120000121,0,0,0,0
-95.23627295461921,59.39345650025019,71120000061,71120000131,0,0,0,0
-95.29658083417924,59.38902768768723,71120000073,71120000143,0,0,0,0
-95.43969166979139,59.42773902484789,71120000083,71120000153,0,0,0,0
-95.6595943575604,59.49086487200495,71120000091,71120000161,0,0,0,0
-95.74980299122859,59.46354086865752,71120000103,71120000173,0,0,0,0
-95.81875430571075,59.429804684786966,71120000113,71120000183,0,0,0,0
-95.91617041664209,59.402021301143854,71120000123,71120000193,0,0,0,0
-95.92316150895341,59.37291951459216,71120000323,71120000203,0,0,0,0
-96.00012376828772,59.38896897582151,71120000163,71120000303,0,0,0,0
-96.07372535435678,59.344023704527125,71120000173,71120000313,0,0,0,0
-96.21108954155699,59.356646502281386,71120000183,71120000323,0,0,0,0
-96.32966943616012,59.383734709020096,71120000191,71120000331,0,0,0,0
-96.49315499654021,59.472467522712535,71120000201,71120000341,0,0,0,0
-96.52714135482124,59.57913570154474,71120000211,71120000351,0,0,0,0
-96.49105741561027,59.62775808084007,71120000223,71120000363,0,0,0,0
-96.46364960828436,59.647308089929105,71120000233,71120000373,0,0,0,0
-96.48492874892688,59.69186697938636,71120000241,71120000381,0,0,0,0
-96.55976809010433,59.72575617835241,71120000251,71120000391,0,0,0,0
-95.96905176499386,59.387846022535236,71120000143,71120000413,0,0,0,0
-95.98749238520504,59.38847831163574,71120000153,71120000423,0,0,0,0
-95.9426711273352,59.38342975849544,71120000133,71120000433,0,0,0,0
-94.78082752886777,59.32521070969975,71130000016,71130000476,0,0,0,0
-95.92400101566918,59.3671048733409,71120000336,71120000486,0,0,0,0
-96.59801263664686,59.74314378913812,71120000266,71120000496,0,0,0,0
-95.89228568055944,59.418086982917146,71120000346,71120000506,0,0,0,0
-94.79917625664694,59.06760774890075,71140100023,71140100013,0,0,0,0
-94.82614559471841,59.07160756672013,71140100031,71140100021,0,0,0,0
-94.8542852219513,59.07417383047812,71140100043,71140100033,0,0,0,0
-94.95540113974019,59.06200721158601,71140100051,71140100041,0,0,0,0
-95.0907320235609,59.01747018166104,71140100061,71140100051,0,0,0,0
-95.20648005633032,58.953497835559276,71140100071,71140100061,0,0,0,0
-95.37099799764135,58.95939609111189,71140100081,71140100071,0,0,0,0
-95.44221594495555,59.0175377943534,71140100091,71140100081,0,0,0,0
-95.53084619330508,58.973761085669516,71140100101,71140100091,0,0,0,0
-95.56570629378027,58.89179795014914,71140100111,71140100101,0,0,0,0
-95.60216074772144,58.814253581405495,71140100121,71140100111,0,0,0,0
-95.73677643921775,58.78768112478963,71140100131,71140100121,0,0,0,0
-95.90007764943904,58.82215325218143,71140100141,71140100131,0,0,0,0
-96.09043525756661,58.88906070158805,71140100151,71140100151,0,0,0,0
-96.24817364284719,58.89646123553129,71140100161,71140100161,0,0,0,0
-96.34452619013291,58.92028898338586,71140100221,71140100171,0,0,0,0
-96.4788787325997,58.90803987925538,71140100231,71140100181,0,0,0,0
-96.62090183279986,58.93656017077113,71140100241,71140100191,0,0,0,0
-96.68687964857826,58.96752687793236,71140100251,71140100201,0,0,0,0
-96.44270634839503,58.8648108916329,71140100171,71140100211,0,0,0,0
-96.66741543665665,58.856050423962955,71140100181,71140100221,0,0,0,0
-96.84625939301843,58.930551012639555,71140100191,71140100231,0,0,0,0
-97.10162983324732,58.890485966306215,71140100201,71140100241,0,0,0,0
-97.3400721837435,58.914218013616946,71140100211,71140100251,0,0,0,0
-97.53448142878617,58.89062456747225,71140300011,71140300261,0,0,0,0
-97.64596191574138,58.8057376850337,71140300023,71140300273,0,0,0,0
-97.76714485037631,58.76403565699191,71140300033,71140300283,0,0,0,0
-97.91456489613734,58.814966568160145,71140300043,71140300293,0,0,0,0
-98.07478535042097,58.79621228179556,71140500013,71140500303,0,0,0,0
-98.17681445489171,58.75038194917444,71140500023,71140500313,0,0,0,0
-98.27838503410761,58.6724482144179,71140500033,71140500323,0,0,0,0
-94.78041442371769,59.058033706840604,71140100016,71140100336,0,0,0,0
-98.40359824187045,58.68548655908403,71140500233,71140500023,0,0,0,0
-98.37426837967311,58.63413074245537,71140500043,71140500033,0,0,0,0
-98.39764007108693,58.63223882375262,71140500251,71140500041,0,0,0,0
-98.4817070446492,58.63759553836697,71140500263,71140500053,0,0,0,0
-98.3354009127195,58.568480434688894,71140500053,71140500063,0,0,0,0
-98.2316427519519,58.5444137372967,71140500063,71140500073,0,0,0,0
-98.19816025788207,58.56456093043668,71140500213,71140500083,0,0,0,0
-98.14823954366032,58.48764126751909,71140500073,71140500093,0,0,0,0
-98.2061489384862,58.3952972090287,71140500081,71140500101,0,0,0,0
-98.29268620513785,58.324591721218546,71140500091,71140500111,0,0,0,0
-98.29294790629473,58.25905249360439,71140500103,71140500123,0,0,0,0
-98.23422211128847,58.20904934890792,71140500111,71140500131,0,0,0,0
-98.31149000051599,58.103812275937415,71140500121,71140500141,0,0,0,0
-98.44827556174553,58.0266709991172,71140500133,71140500153,0,0,0,0
-98.48823465255354,57.960175695954646,71140500143,71140500163,0,0,0,0
-98.62871089825333,57.952037845917,71140500153,71140500193,0,0,0,0
-98.76071304885389,57.89655134794855,71140500161,71140500201,0,0,0,0
-98.85200081479309,57.91480408245353,71140500171,71140500211,0,0,0,0
-98.95370671950033,57.95166263309375,71140500181,71140500221,0,0,0,0
-99.12022168216582,57.97711046007023,71140500191,71140500231,0,0,0,0
-99.31745025931633,57.980004359332106,71140500203,71140500243,0,0,0,0
-99.47420359857963,57.96372507952911,71140700013,71140700253,0,0,0,0
-99.55990749407717,57.94192903962348,71140700021,71140700261,0,0,0,0
-99.569807147891,57.96458219813292,71140700033,71140700273,0,0,0,0
-99.56073426880756,58.00367545397468,71140600011,71140600281,0,0,0,0
-98.45523223044165,58.72073885677014,71140500246,71140500296,0,0,0,0
-98.5529510914735,58.62847863125287,71140500276,71140500306,0,0,0,0
-98.15851072580631,58.57436116824341,71140500226,71140500316,0,0,0,0
-99.60427755413541,58.02819239762773,71140600026,71140600326,0,0,0,0
-94.19997101587361,58.71947876458695,71181100013,71181100013,0,0,0,0
-94.25379632410835,58.59101655849798,71181100021,71181100021,0,0,0,0
-94.2547113761878,58.457837477216266,71181100031,71181100031,0,0,0,0
-94.31776233649592,58.32980645482455,71181100041,71181100041,0,0,0,0
-94.36766765788579,58.231919738508935,71181100051,71181100051,0,0,0,0
-94.44590050124484,58.16438600495634,71181100061,71181100061,0,0,0,0
-94.57711447556721,58.12758080747153,71181100071,71181100071,0,0,0,0
-94.74690009439716,58.09820068642322,71181100081,71181100081,0,0,0,0
-94.87440561112315,58.02329436781676,71181100091,71181100091,0,0,0,0
-94.96613397969284,57.96654845072608,71181100101,71181100101,0,0,0,0
-95.08380280030202,57.922814278070874,71181100111,71181100111,0,0,0,0
-95.14862340760838,57.897259436527065,71181100124,71181100124,0,0,0,0
-95.23968643351105,57.851235893664594,71181100131,71181100131,0,0,0,0
-95.33604981526092,57.8206853179444,71181100144,71181100144,0,0,0,0
-95.38799333297453,57.78874010776349,71181100151,71181100151,0,0,0,0
-95.44272408276254,57.72225051699672,71181100161,71181100161,0,0,0,0
-95.44993932983725,57.6450912975111,71181100171,71181100171,0,0,0,0
-95.43432267301667,57.57190363416347,71181100181,71181100181,0,0,0,0
-95.33790664521383,57.546841920334465,71181100191,71181100191,0,0,0,0
-94.21162101054318,58.79218150851154,71170000016,71170000206,0,0,0,0
-95.36925270753389,57.47664804498279,71181200011,71181200011,0,0,0,0
-95.37284060471931,57.41268197369652,71181200021,71181200021,0,0,0,0
-95.32640216885487,57.32156557813804,71181200031,71181200031,0,0,0,0
-95.36492330948528,57.233838608147494,71181200041,71181200041,0,0,0,0
-95.3703984878846,57.17205672710871,71181200051,71181200051,0,0,0,0
-95.45324800732871,57.131520411095416,71181200061,71181200061,0,0,0,0
-95.57996437942012,57.09016811103704,71181200071,71181200071,0,0,0,0
-95.6352024671543,56.9773154463813,71181200081,71181200081,0,0,0,0
-95.75972816098107,56.94400047562808,71181200093,71181200093,0,0,0,0
-95.80231863251916,56.86163343657702,71181200101,71181200101,0,0,0,0
-95.80038886380244,56.8171121907451,71181200116,71181200116,0,0,0,0
-95.40951736614201,57.511155339726216,71181300011,71181300011,0,0,0,0
-95.51819442293817,57.45939370484211,71181300021,71181300021,0,0,0,0
-95.6539656936009,57.44056885776262,71181300031,71181300031,0,0,0,0
-95.71892680905698,57.393278603949774,71181300041,71181300041,0,0,0,0
-95.7153037255279,57.350397169006115,71181300051,71181300051,0,0,0,0
-95.77449556255334,57.32378798756091,71181300064,71181300064,0,0,0,0
-95.88284700893173,57.312020036897096,71181300071,71181300071,0,0,0,0
-95.98103899432711,57.20428222634965,71181300081,71181300081,0,0,0,0
