reach_id,v16_reach_id,river,dist_out_km,type,facc
81310600126,81310600156,Buckland,128.0579441204565,6,3896.883413665511
81310600111,81310600131,Buckland,127.84373681548773,1,4178.920684159434
81310600101,81310600121,Buckland,117.3462489152701,1,4550.857334623295
81310600091,81310600111,Buckland,103.2642232377165,1,4950.116345666254
81310600081,81310600101,Buckland,88.0569061121983,1,5382.867282580368
81310600071,81310600091,Buckland,72.2136500168792,1,5651.684056019888
81310600061,81310600081,Buckland,61.85501273965359,1,5924.907661810876
81310600051,81310600071,Buckland,51.49730745252528,1,6443.151146343459
81310600041,81310600061,Buckland,31.729082775121505,1,6726.069783307676
81310600033,81310600053,Buckland,21.299479486635725,3,6809.799597985559
81310600021,81310600041,Buckland,18.049391837282215,1,6837.121958564658
81310600013,81310600033,Buckland,16.980835684369886,1,6955.225065583988
81310700031,81310700021,Buckland,12.614874636529516,1,7115.633763177407
81310700023,81310700013,Buckland,6.916048407235603,3,7294.551156646989
81310700016,81310700146,Buckland,0.16366406412795861,6,7299.83935546875
81320100125,81320100155,HothamInletChannel,65.17612385286252,5,7974.8384
81320100135,81320100075,HothamInletChannel,51.18741184275296,5,7974.8384
81330000095,81330000065,HothamInletChannel,40.478707177744816,5,7974.8384
81330000105,81330000055,HothamInletChannel,29.748196764209162,5,7974.8384
81330000115,81330000045,HothamInletChannel,19.04113757824816,5,7974.8384
81330000126,81330000136,HothamInletChannel,0.19108586924245874,6,7974.8384
81320900061,81320900131,Kobuk,533.8783045756448,1,1977.3136979297267
81320900051,81320900121,Kobuk,515.8181344022488,1,2182.677734375
81320900041,81320900181,Kobuk,497.31655732957375,1,4244.522611374021
81320900031,81320900171,Kobuk,485.4690535394961,1,4507.903712977317
81320900021,81320900161,Kobuk,468.16369313580327,1,4798.069333387729
81320900011,81320900231,Kobuk,448.64160241456995,1,5016.313560704961
81320700141,81320700261,Kobuk,434.46636496821566,1,7464.3232421875
81320700131,81320700251,Kobuk,424.2639748750495,1,7566.0166015625
81320700121,81320700121,Kobuk,414.12448720418655,1,9306.464661849517
81320700111,81320700111,Kobuk,403.69423110998554,1,9481.673324336105
81320700101,81320700101,Kobuk,393.2972362100886,1,9779.6396484375
81320700091,81320700091,Kobuk,375.5990315135959,1,11168.331
81320700081,81320700081,Kobuk,359.7690171773269,1,11421.1546
81320700071,81320700071,Kobuk,349.39414753359426,1,11878.2134
81320700061,81320700061,Kobuk,330.8797725612513,1,12185.3899
81320700051,81320700051,Kobuk,318.2587022821102,1,12455.5075
81320700041,81320700041,Kobuk,307.51483527564255,1,12728.9193
81320700031,81320700031,Kobuk,296.75264775183524,1,12990.8017
81320700021,81320700021,Kobuk,286.036890146648,1,13263.3899
81320700011,81320700011,Kobuk,275.2770390595807,1,13573.8605
81320500081,81320500091,Kobuk,262.5798204918311,1,16607.2304
81320500071,81320500081,Kobuk,251.83340703376032,1,16744.1436
81320500061,81320500041,Kobuk,239.58175168579237,1,16903.5779
81320500051,81320500031,Kobuk,224.38621973368973,1,19871.4338
81320500041,81320500021,Kobuk,209.29722389381377,1,21692.0505
81320500031,81320500011,Kobuk,191.01164236713734,1,21692.0505
81320500021,81320500051,Kobuk,179.9683369105392,1,21692.0505
81320500011,81320500061,Kobuk,166.17004446058814,1,22949.4607
81320300051,81320300051,Kobuk,161.19902634621985,1,25518.8485
81320300041,81320300041,Kobuk,149.8699096954425,1,25688.93
81320300031,81320300031,Kobuk,138.61557822612963,1,25917.3978
81320300021,81320300021,Kobuk,123.49497648488358,1,26094.0796
81320300011,81320300011,Kobuk,111.97769635027613,1,26279.3923
81320100113,81320100013,Kobuk,100.5094200415978,1,31314.5319
81320100101,81320100021,Kobuk,97.9638168978447,1,31314.5319
81320100091,81320100031,Kobuk,94.19206613918804,1,31314.5319
81320100083,81320100043,Kobuk,91.72799100060949,3,31314.5319
81320100071,81320100051,Kobuk,89.94147991155357,1,31314.5319
81320100061,81320100061,Kobuk,88.84876515319777,1,31314.5319
81320100051,81320100071,Kobuk,85.74563379208365,1,31314.5319
81320100041,81320100081,Kobuk,84.35200118527082,1,31314.5319
81320100035,81320100145,Kobuk,82.32755272697162,5,23339.6936
81320100025,81320100105,Kobuk,69.97054957168501,5,23339.6936
81320100175,81320100095,Kobuk,40.77359079099205,5,15161.847
81320100165,81320100115,Kobuk,30.59660219131521,5,15161.847
81320100155,81320100125,Kobuk,20.377241327163567,5,15161.847
81320100145,81320100135,Kobuk,10.194525516208916,5,15161.847
81330000156,81330000166,Kobuk,0.18912986455027275,6,15161.847
81340900186,81340900206,Noatak,694.7018623410039,6,741.8520571209506
81340900171,81340900171,Noatak,694.493678162276,1,952.5666147142709
81340900161,81340900161,Noatak,678.0931977630173,1,2037.2362
81340900151,81340900151,Noatak,662.2446253194895,1,2037.2362
81340900141,81340900141,Noatak,643.0679226777661,1,2982.58470479874
81340900131,81340900131,Noatak,632.6897465453814,1,3112.8022390234205
81340900121,81340900121,Noatak,622.3733893076696,1,3253.7678871841063
81340900111,81340900111,Noatak,611.067996130797,1,3393.493368352176
81340900101,81340900101,Noatak,599.7971657922586,1,3618.3769830132114
81340900091,81340900091,Noatak,582.0584974264978,1,3832.512483738242
81340900081,81340900081,Noatak,565.0435490803469,1,3992.080636788168
81340900071,81340900071,Noatak,552.089227300786,1,4173.971795705182
81340900061,81340900061,Noatak,537.6912520556082,1,4299.642050956937
81340900051,81340900051,Noatak,527.5013555792093,1,4427.792640193924
81340900041,81340900041,Noatak,517.3312869308608,1,4653.503032850037
81340900031,81340900031,Noatak,499.1712098851792,1,5082.78369140625
81340900021,81340900021,Noatak,492.72361362489266,1,5092.056636487024
81340900011,81340900011,Noatak,488.7170910274546,1,5120.02099609375
81340700061,81340700111,Noatak,480.7364780596535,1,7762.744396578881
81340700051,81340700101,Noatak,462.86137656863303,1,7946.939453125
81340700041,81340700041,Noatak,448.4092390830216,1,11027.569538099195
81340700031,81340700031,Noatak,429.1327878031597,1,11443.456986293158
81340700021,81340700021,Noatak,409.89258877982127,1,12034.30231810795
81340700011,81340700011,Noatak,391.5174238159315,1,12387.31640625
81340500191,81340500191,Noatak,380.4917352031721,1,14957.494292534722
81340500181,81340500181,Noatak,366.93189007725493,1,15128.531510416668
81340500171,81340500171,Noatak,352.48142323770406,1,15265.361284722223
81340500161,81340500161,Noatak,340.6508146937719,1,15396.810112847223
81340500151,81340500151,Noatak,329.41101036674144,1,15558.6228515625
81340500141,81340500141,Noatak,315.4995540404309,1,17553.356071866037
81340500131,81340500131,Noatak,300.5312397575213,1,18103.31454088492
81340500121,81340500121,Noatak,288.6643189469528,1,18581.21962759919
81340500111,81340500111,Noatak,278.3326172266612,1,19054.713282743785
81340500101,81340500101,Noatak,268.00132315644123,1,19847.300488094526
81340500091,81340500091,Noatak,250.32346913837256,1,21485.251953125
81340500081,81340500081,Noatak,233.9815045625802,1,21581.200067934784
81340500061,81340500071,Noatak,222.23187647344656,1,21597.90658674569
81340500051,81340500051,Noatak,222.04729226364816,1,21600.46875
81340500041,81340500041,Noatak,219.3582412976135,1,22560.730892470314
81340500031,81340500031,Noatak,210.776046122697,1,23508.534562038672
81340500021,81340500021,Noatak,202.20730599037827,1,24463.685546875
81340500011,81340500011,Noatak,193.65389897317303,1,26886.0159
81340500201,81340500201,Noatak,193.6419249813854,1,26886.0159
81340300021,81340300021,Noatak,193.43657716151475,1,53772.0317
81340300011,81340300121,Noatak,188.35847738548668,1,56090.5496
81340100121,81340100111,Noatak,173.47275077888006,1,56281.0171
81340100111,81340100101,Noatak,160.66624324136365,1,56522.441
81340100101,81340100091,Noatak,144.39669330813297,1,56701.2952
81340100091,81340100081,Noatak,131.60289741520688,1,56863.9286
81340100081,81340100071,Noatak,119.93861568712482,1,57024.7086
81340100071,81340100061,Noatak,108.32112997208401,1,57264.7203
81340100061,81340100201,Noatak,90.90230709014695,1,58579.5076
81340100051,81340100191,Noatak,72.00822079023587,1,58974.0216
81340100041,81340100181,Noatak,63.50530335926024,1,59373.4263
81340100031,81340100051,Noatak,55.0278770249701,1,59780.982
81340100021,81340100041,Noatak,46.55436066876221,1,60716.7301
81340100011,81340100031,Noatak,27.565023424741817,1,61345.9962
81330000031,81330000021,Noatak,15.22151315327416,1,61950.809
81330000023,81330000013,Noatak,2.931925232964411,3,62091.0082
81330000016,81330000216,Noatak,0.16196002379073476,6,62100.7895
81310800206,81310800196,Selawik,166.59263054900626,6,3841.8213108359523
81310800191,81310800121,Selawik,166.40491535115953,1,4028.5524193548385
81310800181,81310800111,Selawik,147.40590667454723,1,4183.346968301559
81310800131,81310800171,Selawik,131.68414773538007,1,8278.257973030823
81310800121,81310800161,Selawik,112.07676041697616,1,8751.029278876089
81310800111,81310800101,Selawik,96.10208248127229,1,9251.207616944272
81310800101,81310800091,Selawik,79.18900702692682,1,9728.873035686489
81310800091,81310800081,Selawik,63.36840832890194,1,9985.324551486614
81310800081,81310800071,Selawik,54.47442394371783,1,10254.500760818804
81310800071,81310800061,Selawik,45.58893954476917,1,10524.655792730386
81310800061,81310800051,Selawik,36.73027683341194,1,10956.316550241283
81310800053,81310800043,Selawik,22.141106717108638,3,11113.90698552304
81310800041,81310800031,Selawik,16.654518200540863,1,11148.16577580168
81310800031,81310800021,Selawik,15.549020696696635,1,11191.233969294832
81310800023,81310800013,Selawik,14.132088201173435,3,11610.170033273662
81310800016,81310800186,Selawik,0.15586741128458734,6,11616.04296875
