lake_id,Lake_area,Shape_Area,lon,lat
8130133463.0,0.5737031083587095,0.00011770175804407704,-160.44496659092994,66.95146407700005
8130133483.0,0.3881715128349517,7.960812992906596e-05,-160.457825900489,66.94253250150007
8130134822.0,0.3412826221943985,6.904242969487523e-05,-161.34965950456694,66.60515104800007
8130129893.0,0.252125804289748,5.148580627288852e-05,-161.54972063662126,66.83752415450007
8130141583.0,0.25036617223029684,5.1263901768346885e-05,-160.7132071726217,66.90292850050005
8130141543.0,0.13508817822432134,2.766922002615727e-05,-160.80532879299554,66.91110569100005
8130178153.0,0.12879689683315132,2.6035314624371058e-05,-159.99906839576562,66.58593645300004
8130131743.0,0.1053566441761948,2.1325813336408883e-05,-161.33917956433376,66.61973453200008
8130131753.0,0.0909486486772369,1.84052797757878e-05,-161.34231579132074,66.61347078950007
8130155893.0,0.09006772371736307,1.8210621811276728e-05,-160.00368382411978,66.59131600100005
8130145223.0,0.056712024443871,1.1540460758327e-05,-161.47644290458013,66.75070811550003
8130166063.0,0.05404081964276638,1.0916171568659633e-05,-159.9726582998427,66.56809490400005
8130155813.0,0.053139929401880254,1.074747666930662e-05,-160.0046435123876,66.59830790650005
8130132633.0,0.04142724988377052,8.4833742867751e-06,-160.74254258445143,66.90574697400004
8130166043.0,0.035126462266012265,7.0982890865006124e-06,-159.98755479948176,66.57714883950004
8130133443.0,0.01711202182469173,3.510206561121577e-06,-160.44921703085328,66.94786353300006
8130168063.0,0.01170888686416455,2.3647074874274824e-06,-159.93999821879524,66.56264587250004
8130145243.0,0.01080204662530809,2.1970706657796908e-06,-161.40112610256347,66.73876574900007
