reach_id,time_str,wse,width,slope,slope2,d_x_area,area_total,reach_q,ice_clim_f,dark_frac,sos_consensus_q,sos_hivdi_q,sos_metroman_q,sos_momma_q,sos_sad_q,sos_sic4dvar_q,wse_units,width_units,slope_units,slope2_units,d_x_area_units,area_total_units,dark_frac_units,sos_consensus_q_units,sos_hivdi_q_units,sos_metroman_q_units,sos_momma_q_units,sos_sad_q_units,sos_sic4dvar_q_units
81340500041,2023-07-29T01:25:44Z,100.4178,298.582497,0.00094892825,0.00093557965,-999999999999.0,2561834.8,1,0,0.331095,242.49358952571458,-999999999999.0,909.5022767713973,139.32602695539808,-999999999999.0,242.49358952571458,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-08-04T16:44:22Z,99.9372,328.366724,0.00101218821,0.00097050432,-999999999999.0,2102239.9,1,0,0.416144,140.8688236975101,-999999999999.0,524.8405316215391,112.05790154759895,-999999999999.0,140.8688236975101,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-08-07T23:48:02Z,99.6804,427.758076,0.00099536949,0.00098008169,-999999999999.0,3670159.9,2,0,0.45661,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-08-25T13:29:26Z,101.1809,299.132961,0.00095902978,0.000943459,-999999999999.0,2261502.4,1,0,0.215445,502.29149825447973,-999999999999.0,1621.2725485265878,212.49005542562293,-999999999999.0,502.29149825447973,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-08-28T20:33:06Z,102.4748,490.40418,0.0008275456,0.00084557579,-999999999999.0,4207662.8,1,0,0.100805,843.580509688869,-999999999999.0,2462.9948854045215,556.3720046414257,-999999999999.0,843.580509688869,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-09-04T11:51:44Z,101.0743,432.428374,0.00091968845,0.00090045033,-999999999999.0,3710231.0,1,0,0.300424,413.826748454144,-999999999999.0,911.6351061072138,284.86803352993115,-999999999999.0,413.826748454144,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-09-05T11:52:25Z,101.632,267.681711,0.00089911899,0.00087824371,-999999999999.0,2296706.3,1,0,0.108878,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-09-07T18:55:15Z,102.5393,329.741478,0.00081595007,0.00080878452,-999999999999.0,2829178.5,1,0,0.012599,607.3866923165133,-999999999999.0,-999999999999.0,374.2242653262211,-999999999999.0,840.5491193068054,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-09-08T18:55:56Z,102.1879,334.222702,0.00083952218,0.00083013124,-999999999999.0,2867627.3,1,0,0.036681,792.1580560329699,-999999999999.0,2340.628256022765,339.3428265759187,-999999999999.0,792.1580560329699,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-09-15T10:14:33Z,100.7443,206.98272,0.00094636898,0.0009315954,-999999999999.0,1238624.8,1,0,0.261056,339.53509957300804,-999999999999.0,1666.389380191359,116.72462873125781,-999999999999.0,339.53509957300804,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-09-18T17:18:12Z,100.5639,443.907964,0.00094772071,0.00093240407,-999999999999.0,3808725.8,1,0,0.373385,279.66673065747574,-999999999999.0,861.3419194309482,225.92743526272568,-999999999999.0,279.66673065747574,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-09-28T15:40:18Z,99.8659,249.257696,0.00095964842,0.00095518545,-999999999999.0,2138628.5,1,0,0.369686,98.58604735508867,-999999999999.0,-999999999999.0,79.79713083223852,-999999999999.0,117.37496387793881,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-09-29T15:40:59Z,99.8697,290.794401,0.00096109618,0.00095380823,-999999999999.0,2495013.0,1,0,0.439771,122.38763207371518,-999999999999.0,517.190978467062,93.32289537637496,-999999999999.0,122.38763207371518,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,1,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-10-06T06:59:34Z,99.4291,339.464366,0.00095756937,0.00095710054,-999999999999.0,2912600.8,1,1,0.555263,73.49523682561889,-999999999999.0,228.6209216503472,73.49523682561889,-999999999999.0,44.6977555255505,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-10-09T14:03:14Z,99.5299,363.020411,0.00107746983,0.001131763,-999999999999.0,3114711.4,1,1,0.469663,30.420613431416886,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,30.420613431416886,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,1,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-10-16T05:21:51Z,99.2095,380.40643,0.00109072955,0.00109384832,-999999999999.0,3263883.3,1,1,0.485538,60.44223111442317,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,60.44223111442317,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-10-17T05:22:32Z,99.4684,248.534428,0.00090514789,0.00095248464,-999999999999.0,2132422.8,2,1,0.778003,67.03724483262846,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,67.03724483262846,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-10-19T12:25:22Z,99.6282,238.227329,0.00101488333,0.001039124,-999999999999.0,2043988.0,2,1,0.707921,59.69905727210714,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,59.69905727210714,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-10-20T12:26:03Z,99.6545,277.486604,0.00103733997,0.00105321514,-999999999999.0,2380832.2,1,1,0.488355,78.10676843922622,-999999999999.0,410.76305717567755,78.10676843922622,-999999999999.0,33.37643327968106,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,1,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-10-27T03:44:39Z,106.126,651.703684,-3.50525e-05,-3.02808e-05,-999999999999.0,5591610.9,2,1,0.287251,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-10-30T10:48:19Z,99.6123,371.115229,0.00106390702,0.00111302334,-999999999999.0,3184164.8,1,1,0.404123,43.74482940521029,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,43.74482940521029,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,no_data,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,3,1,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81340500041,2023-11-06T02:06:56Z,100.4363,334.63124,0.00106710375,0.00108435835,-999999999999.0,2871132.6,2,1,0.486299,32.19589693431857,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,32.19589693431857,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
