reach_id,time_str,wse,width,slope,slope2,d_x_area,area_total,reach_q,ice_clim_f,dark_frac,sos_consensus_q,sos_hivdi_q,sos_metroman_q,sos_momma_q,sos_sad_q,sos_sic4dvar_q,wse_units,width_units,slope_units,slope2_units,d_x_area_units,area_total_units,dark_frac_units,sos_consensus_q_units,sos_hivdi_q_units,sos_metroman_q_units,sos_momma_q_units,sos_sad_q_units,sos_sic4dvar_q_units
81310800111,2023-03-31T12:05:58Z,6.9414,191.164674,9.575908e-05,7.185919e-05,-999999999999.0,3012353.3,2,2,0.022927,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-02T11:47:14Z,6.9751,204.788864,0.00012694107,7.710667e-05,-999999999999.0,3227041.9,1,2,0.021678,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-03T11:37:52Z,6.9937,242.587776,5.649801e-05,6.866631e-05,-999999999999.0,3822673.3,1,2,0.01591,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-04T11:28:29Z,7.0517,223.314703,7.031684e-05,6.525752e-05,-999999999999.0,3518970.2,1,2,0.019975,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-05T11:19:07Z,7.0453,246.707089,0.00012996098,7.52877e-05,-999999999999.0,3887585.0,1,2,0.019052,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-06T11:09:45Z,7.0591,240.894796,0.00013816329,7.793661e-05,-999999999999.0,3795995.5,1,2,0.018538,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-07T11:00:23Z,7.1327,241.897385,0.00013732877,7.172569e-05,-999999999999.0,3811794.2,1,2,0.021149,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-08T10:51:02Z,7.047,235.800381,6.681892e-05,6.885223e-05,-999999999999.0,3715718.2,1,2,0.019592,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-09T10:41:40Z,6.9836,240.853436,6.264152e-05,6.611401e-05,-999999999999.0,3795343.7,1,2,0.019167,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-10T10:32:18Z,6.9433,239.273856,6.132889e-05,6.942681e-05,-999999999999.0,3770452.9,1,2,0.020098,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-11T10:22:56Z,6.9526,234.328512,5.77471e-05,6.987568e-05,-999999999999.0,3692524.7,1,2,0.020017,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-12T10:13:34Z,6.9408,239.533496,0.00011788049,7.451915e-05,-999999999999.0,3774544.3,1,2,0.019822,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-13T10:04:12Z,6.9326,235.600697,9.765786e-05,7.980403e-05,-999999999999.0,3712571.6,1,2,0.025544,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-14T09:54:50Z,6.9077,224.058832,0.0001275769,7.762298e-05,-999999999999.0,3530696.1,1,2,0.018273,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-15T09:45:28Z,6.9552,218.823199,0.00013259792,8.032792e-05,-999999999999.0,3448193.5,1,2,0.023086,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-16T09:36:06Z,6.921,195.408122,0.00014256203,8.019339e-05,-999999999999.0,3079221.1,1,2,0.024307,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-17T09:26:44Z,7.0108,211.056787,0.00011906468,8.112583e-05,-999999999999.0,3325811.2,1,2,0.024251,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-18T09:17:22Z,6.9904,208.901322,0.00011865401,8.038472e-05,-999999999999.0,3291845.6,2,2,0.020789,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-19T09:08:00Z,7.1364,219.781502,4.685202e-05,6.818541e-05,-999999999999.0,3463294.4,1,2,0.022371,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
81310800111,2023-04-20T08:58:37Z,7.124,215.828736,0.00013718776,7.487428e-05,-999999999999.0,3401007.1,1,2,0.022524,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,m,m,m/m,m/m,m^2,m^2,1,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s,m^3/s
