year,n,filled,doy_peak,eta_p95
2023,21897,0.4535353535353535,145,3.1886460000000008
2024,11552,0.42727272727272725,140,1.69447125
2025,11588,0.45555555555555555,145,2.2042309999999996
2026,10153,0.35454545454545455,136,0.5830329999999998
