year,n,filled,doy_peak,eta_p95
2023,57030,0.2866115702479339,251,1.6865202499999996
2024,56343,0.4277685950413223,241,1.4080459999999988
2025,54591,0.4099173553719008,245,2.285702500000001
2026,51007,0.3659504132231405,256,0.7592279999999999
