yr,doy_max,qmax,q_spring,q_late,vol_spring,vol_late,n,late_wins,late_frac_vol
1977,162,1415.8423296,1415.8423296,886.3172983296,4.376434335877693,3.7062194309300556,184,False,0.4585399223891079
1978,159,1330.891789824,1330.891789824,1240.2778807296,5.253776326511494,4.701339568326574,184,False,0.4722536249692799
1979,163,2624.9716790784,2624.9716790784,1857.5851364352,9.882941916244377,7.023139761052385,184,False,0.4154209056308881
1980,159,2548.51619328,2548.51619328,1812.278181888,9.721957245347268,4.482126399445401,184,False,0.31555195755895066
1981,214,2143.5852870144,1642.377102336,2143.5852870144,4.566043940657726,6.989866333632922,184,True,0.604873711176508
1982,157,4247.5269888,4247.5269888,2548.51619328,8.606318796577014,7.918831068277799,184,False,0.4791987445220892
1983,155,2268.1794120192,2268.1794120192,2018.9911620096,4.27294419030098,5.612884685087146,184,False,0.5677707712563231
1984,218,2271.0110966784,1699.01079552,2271.0110966784,3.8785562123585122,6.747410697069037,184,True,0.634992632160619
1985,156,3681.19005696,3681.19005696,3086.536278528,6.372595323490959,7.507953171158337,184,False,0.5408974417727455
1986,250,3907.724829696,1710.3375341568,3907.724829696,3.5663731727464865,9.44182434538193,184,True,0.7258364836652937
1987,150,1274.25809664,1274.25809664,954.2777301504,3.5436200201728822,4.773758204474819,184,False,0.5739498764560537
1988,135,2265.34772736,2265.34772736,1959.5257841664,6.094664341516617,5.610462575297053,184,False,0.47931668021796336
1989,154,3964.3585228800002,3964.3585228800002,2483.3874461184,8.02256587140907,11.029896531997656,184,False,0.578922361763875
1990,142,3681.19005696,3681.19005696,1829.2682898432001,4.681277648853073,4.848598950413156,184,False,0.5087787758748611
1991,142,3398.02159104,3398.02159104,1008.0797386752,8.541239887065416,4.169600839256998,184,False,0.32803501586030615
1992,157,4389.11122176,4389.11122176,1226.1194574336,5.138542618316145,4.198225773139918,184,False,0.44964441626094653
1993,142,3907.724829696,3907.724829696,2203.0506648576,9.236311999555829,8.414996588915098,184,False,0.47673499937627356
1994,143,3794.457443328,3794.457443328,3652.873210368,7.417772396549406,11.598725346337753,184,False,0.609929625484066
1995,133,3114.85312512,3114.85312512,495.54481536000003,5.8389971970067664,3.0504393217011554,184,False,0.3431532825822504
1996,141,3851.091136512,3851.091136512,1650.8721563136,5.8703133639897915,4.390991460373709,184,False,0.42791745645720825
1997,133,1868.9118750720002,1868.9118750720002,1449.8225455104,4.233480926751277,5.003980963310961,184,False,0.5417051808023476
1998,234,2831.6846592,2327.6447898624,2831.6846592,6.378711762354832,10.884080629482947,184,True,0.6304936294448618
1999,144,1982.1792614400001,1982.1792614400001,1146.832286976,4.548232870686132,4.774981492247594,184,False,0.5121604316244699
2000,157,3596.2395171840003,3596.2395171840003,1982.1792614400001,4.335649921533394,6.441123904521781,184,False,0.5976857275179122
2001,160,3681.19005696,3681.19005696,2273.8427813376,6.820318648326389,6.5631835584892135,184,False,0.49039357987678933
2002,142,3879.4079831040003,3879.4079831040003,1322.3967358464001,6.46091670068527,4.342696059104576,184,False,0.401967023037676
2008,138,3681.19005696,3681.19005696,699.4261108224,7.3441304726283905,2.7226226643530715,184,False,0.2704568819067571
2009,146,3426.338437632,3426.338437632,1274.25809664,8.656228937706212,3.5796825437142705,184,False,0.29255544624933005
2010,139,3256.43735808,3256.43735808,1002.4163693568,3.5314850054669593,4.25591602450396,184,False,0.5465130161044054
2011,146,4530.69545472,4530.69545472,985.4262614016001,6.55961155819271,4.214960349871474,184,False,0.3911951570639019
2015,138,3681.19005696,3681.19005696,1251.6046193664001,6.395103818510009,4.113892314084851,184,False,0.3914638717322525
2016,135,2406.93196032,2406.93196032,1475.3077074432001,5.5537264883957755,5.524514376381924,184,False,0.49868155457304014
2017,140,2944.952045568,2944.952045568,2647.625156352,4.680347950145766,7.92154676713336,184,False,0.6285996625786523
2018,159,2814.6945512448,2814.6945512448,974.0995227648,9.738031246681523,4.729206063790374,184,False,0.3268907506181023
2019,150,3313.0710512640003,3313.0710512640003,1735.8226960896,9.239345753232309,5.659907867072595,166,False,0.379878617500624
2021,215,3454.6552842240003,1730.1593267712,3454.6552842240003,4.808988892330722,10.364183326053828,184,True,0.6830597568447869
2022,145,3171.4868183040003,3171.4868183040003,2534.3577699840002,5.447667438496236,8.58503358933074,184,False,0.6117876788158273
2023,250,2792.0410739712,2735.4073807872,2792.0410739712,9.162376486569345,11.38758587675689,184,True,0.5541414468514717
2024,237,3313.0710512640003,2248.3576194048,3313.0710512640003,6.869348022259189,9.917512028702983,184,True,0.590790177471846
2025,247,3624.556363776,2426.7537529344,3624.556363776,5.884112050066686,11.860019614602361,184,True,0.6683910962077256
