region,lag,r_raw,p_raw,r_partial,p_partial,r_q_nlw,n
Hotham Inlet,0,-0.2774162134423877,0.0002606294267867856,-0.2817728838523729,0.00021544136462536834,-0.025399767473874325,169
Hotham Inlet,1,-0.26363417182446064,0.000554661039149511,-0.23994634328184358,0.0017886136444797973,-0.12391519558658,168
Hotham Inlet,2,-0.15234280028284078,0.04936756572238,-0.11131048131789363,0.15336695072755258,-0.16459201660169262,167
Hotham Inlet,3,-0.01699469987116214,0.8274399299219557,0.039130295180393515,0.616694358462913,-0.18785809153960661,167
Inner sound,0,0.3158012920698691,4.4390129265150975e-06,0.1840722727113495,0.008732076631390306,0.4335241992493329,203
Inner sound,1,0.33384761301024707,1.2011365949596866e-06,0.23661783545787068,0.0007199476740196165,0.3399294342277517,202
Inner sound,2,0.32432320935415276,2.640316274747875e-06,0.28392556664819935,4.6150765859120924e-05,0.17315624090086476,201
Inner sound,3,0.22857004735999714,0.0011656306969591924,0.2556941698507925,0.0002771384235102925,-0.021326988854374715,199
Outer sound,0,0.2403762037550954,0.0005009986634851946,0.1145618036273571,0.10191597550596487,0.24670691894490276,206
Outer sound,1,0.1472102781196054,0.035175577255185074,-0.0007048092256534552,0.9920174316805639,0.23793571796679722,205
Outer sound,2,-0.03546428362634122,0.615438157236496,-0.08683208992516402,0.21915451078300752,0.05259642455308907,203
Outer sound,3,-0.20376244441964542,0.003716000938314167,-0.11060118781175948,0.11896796559450751,-0.19136162990451894,201
