river,n,reach,q_spring,q_late,late_over_spring,late_wins,ambiguous,doy_max
Noatak,25,81340100031,416.5579275569403,660.1868309006463,1.5848620017210064,True,False,251
Kobuk,31,81320100041,455.5045895306935,603.2153371111509,1.3242793837327607,True,False,236
Selawik,50,81310800071,265.2171093513679,165.88776437986292,0.6254791208062283,False,False,154
Buckland,37,81310700031,320.1883948938536,321.02231777151457,1.0026044756492107,True,True,242
Wulik,31,81350100331,128.84584479207436,147.01311108325402,1.1410000168844963,True,False,221
