river,shift_km,dt_hr,celerity_ms,corr,n_common,time
Kobuk,40.0,23.843888888888888,0.46599408187516017,0.9538889854152738,462,2023-05-23 03:49:49+00:00
Kobuk,40.5,23.843611111111112,0.47182450458427017,0.9814977061593073,470,2023-05-24 03:40:27+00:00
Kobuk,-49.0,23.843888888888888,0.5708427502970712,0.9897326092379048,470,2023-05-25 03:31:04+00:00
Kobuk,-25.0,23.843888888888888,0.29124630117197514,0.9660122922611958,469,2023-05-26 03:21:42+00:00
Kobuk,2.0,23.843888888888888,0.02329970409375801,0.9652580392697925,469,2023-05-27 03:12:20+00:00
Kobuk,3.0,23.843888888888888,0.034949556140637016,0.8060770423328866,469,2023-06-03 02:06:44+00:00
Kobuk,32.0,23.843888888888888,0.37279526550012815,0.8140662473392826,456,2023-06-11 00:51:47+00:00
Kobuk,-1.5,23.843888888888888,0.017474778070318508,0.9740938756244779,469,2023-06-15 00:14:18+00:00
Kobuk,1.5,47.6875,0.00873743993010048,0.9738012993683881,469,2023-06-16 00:04:56+00:00
Kobuk,-1.0,23.844166666666666,0.011649716329407379,0.8163599948590065,467,2023-06-18 23:36:49+00:00
Kobuk,11.5,23.843611111111112,0.13397485932639772,0.8014694506561365,467,2023-06-19 23:27:28+00:00
Kobuk,-2.0,23.843888888888888,0.02329970409375801,0.8673104683189754,462,2023-06-21 23:08:44+00:00
Kobuk,-5.0,23.843888888888888,0.05824926023439502,0.6888503257097951,465,2023-06-26 22:21:54+00:00
Kobuk,2.5,23.843611111111112,0.02912496941878211,0.6606345292933067,465,2023-06-27 22:12:32+00:00
Kobuk,1.0,23.843888888888888,0.011649852046879005,0.6214660465983476,468,2023-06-28 22:03:09+00:00
Kobuk,-29.5,23.844166666666666,0.34366663171751766,0.7542843414232308,452,2023-06-30 21:44:24+00:00
Kobuk,40.5,23.843888888888888,0.4718190078985997,0.6460730008456924,452,2023-07-01 21:35:03+00:00
Kobuk,14.0,23.843888888888888,0.16309792865630607,0.8003252594138612,468,2023-07-02 21:25:41+00:00
Kobuk,-1.5,23.843611111111112,0.017474981651269265,0.8823742231817288,469,2023-07-04 21:06:57+00:00
Kobuk,-1.0,23.843611111111112,0.011649987767512844,0.8402381104800954,458,2023-07-07 20:38:51+00:00
Kobuk,2.0,23.843888888888888,0.02329970409375801,0.7840440328753624,470,2023-07-08 20:29:28+00:00
Kobuk,3.5,24.00861111111111,0.040494729900151565,0.7132214310850176,188,2023-07-27 01:25:18+00:00
Kobuk,18.0,24.009444444444444,0.20825138255778977,0.8188232426702128,175,2023-08-01 16:42:39+00:00
Kobuk,-1.0,24.009166666666665,0.011569655108581213,0.6707180562412772,171,2023-08-23 13:28:17+00:00
Kobuk,1.0,24.01,0.01156925355176084,0.7701520233458271,123,2023-09-01 11:49:58+00:00
Kobuk,10.5,24.00888888888889,0.12148278415401703,0.7780825550146372,190,2023-09-27 15:40:33+00:00
Kobuk,7.5,24.009722222222223,0.0867704055070284,0.7198577861245313,175,2023-10-03 06:57:51+00:00
Kobuk,19.5,24.009027777777778,0.225609579729847,0.6283952635989384,171,2023-10-04 06:58:26+00:00
Kobuk,-1.0,24.00861111111111,0.011569922828614734,0.6596252989865329,174,2023-10-08 14:03:16+00:00
Kobuk,18.5,24.010555555555555,0.2140262384599366,0.6563741027276077,126,2024-05-29 17:35:59+00:00
Kobuk,-4.0,24.00888888888889,0.04627915586819696,0.8120378215994768,125,2024-05-30 17:36:37+00:00
Kobuk,1.0,24.010555555555555,0.011568985862699275,0.8588372422980213,174,2024-06-09 15:58:49+00:00
Kobuk,2.5,24.009166666666665,0.028924137771453032,0.8396199308416677,130,2024-06-20 14:21:41+00:00
Kobuk,-10.0,24.008333333333333,0.11570056693277797,0.7766984678273624,101,2024-07-11 11:06:44+00:00
Kobuk,8.0,24.00986111111111,0.09255456380769475,0.7932875042139738,176,2024-07-21 09:28:58.500000+00:00
Kobuk,19.0,24.01,0.21981581748345597,0.7521757346791708,126,2024-07-31 07:51:12+00:00
Kobuk,2.5,24.009444444444444,0.028923803133026355,0.7383713556371251,174,2024-08-11 06:14:03+00:00
Kobuk,28.5,24.009166666666665,0.3297351705945646,0.9687726687873528,189,2024-08-26 11:41:48+00:00
Kobuk,1.5,24.01,0.01735388032764126,0.9234463785111645,178,2024-09-01 02:59:07+00:00
Kobuk,3.5,24.008055555555554,0.040495666963634894,0.7166833401992007,172,2024-09-06 10:04:36+00:00
Kobuk,-2.0,24.00861111111111,0.023139845657229468,0.6592696854622608,108,2024-09-17 08:27:25+00:00
Kobuk,-25.0,24.009722222222223,0.28923468502342803,0.766496198897489,178,2024-09-21 23:44:15+00:00
