reach_id,path,mp,type,lon,lat,facc,width,nchan,dist,wse_med,amp,coupling,n
81320100113,Kobuk main + arms,7000490,1,-160.4466503283005,66.94916258182077,31314.5319,600.0,3,100.5094200415978,3.1672,1.8093200000000005,0.9110397780021298,95
81320100101,Kobuk main + arms,7000490,1,-160.5053956397668,66.9379196982149,31314.5319,503.0,4,97.9638168978447,2.1447,2.6873199999999997,0.8399092524459799,109
81320100091,Kobuk main + arms,7000490,1,-160.55621633072894,66.91892111704665,31314.5319,664.5,3,94.19206613918804,1.8473,2.6285000000000003,0.9112202627900325,111
81320100083,Kobuk main + arms,7000490,3,-160.5976861701076,66.90797624263627,31314.5319,969.0,4,91.72799100060948,1.8196,2.605739999999999,0.917580943527773,109
81320100071,Kobuk main + arms,7000490,1,-160.62765592258538,66.9049842504922,31314.5319,600.0,3,89.94147991155357,1.6496,2.5250449999999995,0.838257461066935,110
81320100061,Kobuk main + arms,7000490,1,-160.6751875762126,66.90333086181509,31314.5319,841.0,4,88.84876515319777,1.8533,2.313585,0.8929019219948655,110
81320100051,Kobuk main + arms,7000490,1,-160.72521933404016,66.90314257144513,31314.5319,705.5,3,85.74563379208365,2.4157,1.6109299999999995,0.735493400236798,107
81320100041,Kobuk main + arms,7000490,1,-160.76243531479832,66.90589343435612,31314.5319,610.5,4,84.35200118527082,3.5171,1.0484250000000004,0.1996818281154027,86
81320100175,Kobuk main + arms,7000490,5,-161.08159536448937,66.78893339829519,15161.847,254.0,1,40.77359079099205,0.6349,1.61565,0.38580618821474016,63
81320100025,Kobuk main + arms,7000490,5,-160.99529037074657,66.84293751345015,23339.6936,331.0,3,69.97054957168501,0.8216,1.9622750000000007,0.918424858003118,92
81320100165,Kobuk main + arms,7000490,5,-161.08054907254785,66.7525811696884,15161.847,277.0,1,30.59660219131521,0.61015,1.3769849999999992,0.8342270075483221,62
81320100155,Kobuk main + arms,7000490,5,-161.17755139011277,66.71759718996454,15161.847,284.0,1,20.377241327163567,0.5917,1.2796849999999997,0.6992196061053991,62
81320100145,Kobuk main + arms,7000490,5,-161.29519336963793,66.6532698297611,15161.847,331.0,2,10.194525516208916,0.5971500000000001,1.1745349999999999,0.6759599048621417,68
81320100035,Kobuk main + arms,7000490,5,-160.89145634073253,66.88697055726992,23339.6936,439.0,4,82.32755272697162,1.3099,1.9737399999999998,0.9223595940143023,73
81320100125,Hotham channel A,7001381,5,-160.89899308178104,66.9205058618977,7974.8384,150.0,3,65.17612385286252,1.5377,2.2106500000000002,0.8338926903850781,96
81320300011,Kobuk main + arms,7000490,1,-160.29778040190644,66.95407168640527,26279.3923,716.0,4,111.97769635027612,3.5933,3.0588250000000006,0.8902022828123074,76
81320300021,Kobuk main + arms,7000490,1,-160.05622209692217,66.98706910821528,26094.0796,509.0,3,123.49497648488358,3.922,3.1515600000000004,0.9334186582347823,97
81320300031,Kobuk main + arms,7000490,1,-159.83798493297087,67.0448190054881,25917.3978,334.5,2,138.61557822612963,5.1964,3.2340399999999976,0.9650956208913141,93
81320300041,Kobuk main + arms,7000490,1,-159.66818761818993,67.10379869607337,25688.93,298.0,3,149.8699096954425,7.1198999999999995,3.40503,0.9825651325671309,98
81320100015,Hotham channel B,7000383,5,-161.128510342434,66.81542128967754,8177.8466,137.0,2,57.54990862116695,0.66265,1.5849699999999993,0.8373546477619633,70
81330000085,Hotham channel B,7000383,5,-161.22966110552636,66.77803976272824,8177.8466,171.0,2,47.10125240781012,0.5931,1.2384699999999993,0.9315584628436033,55
81330000075,Hotham channel B,7000383,5,-161.3782738430451,66.75298482321804,8205.9515,67.84921264648438,1,36.601868353320725,0.5408,1.0333199999999998,0.9098396570027376,49
81330000115,Hotham channel A,7001381,5,-161.56082362091502,66.83868998798604,7974.8384,108.0,1,19.04113757824816,0.47335,0.956625,0.878969262587272,66
81330000105,Hotham channel A,7001381,5,-161.39662743165138,66.88406764834366,7974.8384,170.0,2,29.74819676420916,0.5203,1.3157799999999988,0.6872562533306351,69
81330000095,Hotham channel A,7001381,5,-161.1898975563031,66.8834091477048,7974.8384,213.5,2,40.478707177744816,0.6616,1.4718100000000003,0.9417420126753354,87
81320100135,Hotham channel A,7001381,5,-161.02737349725115,66.91685487458511,7974.8384,148.0,1,51.18741184275296,0.9325,2.1699,0.8789043700325146,116
81330000065,Hotham channel B,7000383,5,-161.5572711859059,66.74804308803022,8233.6558,123.0,1,21.67872097803521,0.47295,0.8298599999999999,0.8714399720275298,68
81330000055,Hotham channel B,7000383,5,-161.76180196851325,66.73101008151976,8261.5301,93.0,1,10.835744269715429,0.4504,0.7808499999999999,0.7796234778313026,51
81330000135,minor inlet channel,7003121,5,-161.32862718583928,66.72381387094927,28.104860305786133,63.0,1,49.50333974634496,0.6736,1.2189999999999996,0.5583503179097093,55
