group,n_reach,n_obs,wse_med,wse_std,wse_range
Kobuk main stem,11,1092,2.9654,1.8753619090911033,6.181835000000001
Kobuk delta arms,6,420,0.70045,0.6320323016911018,1.9415749999999992
Hotham channel A,5,434,0.76775,0.687793030089546,2.0786699999999994
Hotham channel B,5,293,0.5458,0.4027229014160151,1.4008399999999996
