river,t0,n,span_hr,slope_km_per_hr,r2,celerity_ms
Kobuk,2023-05-23 03:49:49+00:00,12,262.28194444444443,-0.16571902489951942,0.29708156835798444,0.04603306247208872
Kobuk,2023-06-09 01:10:31+00:00,12,286.12611111111113,-0.1771475386389855,0.05358812222012111,0.04920764962194042
Kobuk,2023-06-26 22:21:54+00:00,4,71.53138888888888,-1.5953805804991945,0.5068793357699675,0.44316127236088737
Kobuk,2023-07-01 21:35:03+00:00,10,214.59472222222223,-0.36709806957250063,0.1982284745184034,0.10197168599236128
Kobuk,2023-08-27 20:33:09+00:00,7,262.3808333333333,0.17484500764346753,0.045659727298296635,0.048568057678740985
Kobuk,2024-05-30 17:36:37+00:00,4,127.09027777777777,0.7738528721210056,0.08519525913058272,0.2149591311447238
Kobuk,2024-07-11 11:06:44+00:00,4,127.09083333333334,0.7374481435361312,0.08392858751709235,0.20484670653781423
Kobuk,2025-06-10 07:08:02+00:00,3,103.0813888888889,3.1462525754952018,0.6251589532767023,0.8739590487486671
Kobuk,2025-08-27 02:50:57+00:00,7,262.38055555555553,0.054270557101467325,0.00537483613807828,0.01507515475040759
Kobuk,2026-09-11 07:39:08+00:00,4,127.09138888888889,0.13890983223024977,0.006405962529476225,0.03858606450840272
Selawik,2023-05-23 03:49:35+00:00,26,619.9397222222223,0.0007194777184483328,2.0261227335076367e-05,0.00019985492179120355
Noatak,2023-06-09 01:10:47+00:00,6,119.21916666666667,-0.45095070472177556,0.4489592962052098,0.12526408464493766
Noatak,2023-06-24 22:40:53+00:00,4,71.53166666666667,-1.6290257764230747,0.7875961250252054,0.45250716011752073
Noatak,2023-07-06 20:48:28+00:00,3,47.687777777777775,-1.6769247534961342e-18,1.7292919364670613e-35,4.65812431526704e-19
Noatak,2023-08-23 13:28:35+00:00,11,310.3977777777778,-0.31877561142464006,0.026648693100056266,0.0885487809512889
Noatak,2023-09-06 18:55:06+00:00,5,159.30972222222223,1.5679940839567301,0.27730183729714575,0.4355539122102028
Noatak,2024-05-31 17:37:26+00:00,14,389.4608333333333,0.24839664950410356,0.04117634094320381,0.06899906930669543
Noatak,2024-07-03 12:45:47+00:00,7,238.3711111111111,0.18228246006981078,0.006472235711274139,0.05063401668605855
Noatak,2024-07-15 18:11:16+00:00,4,72.02972222222222,-5.438185221036698,0.9293512928426073,1.5106070058435273
Noatak,2024-08-02 07:52:40+00:00,3,48.01694444444445,-5.5460592073104555,0.9701286282806032,1.5405720020306821
Noatak,2024-08-05 14:56:20+00:00,4,72.03,-6.353584255191639,0.9022631574732128,1.7648845153310109
Noatak,2024-08-12 06:14:56+00:00,3,48.01694444444445,-8.456417954098868,0.6675343685877667,2.3490049872496854
Noatak,2024-08-16 13:19:11+00:00,6,207.32611111111112,-0.524978402228117,0.06346068331883856,0.14582733395225472
Noatak,2024-08-26 11:41:27+00:00,11,310.39916666666664,0.029588269740004152,0.0002775625994274241,0.00821896381666782
Noatak,2024-09-22 23:45:08+00:00,4,103.07083333333334,-1.2739250847271804,0.138750433199599,0.3538680790908834
Noatak,2025-06-01 08:46:35+00:00,5,103.07055555555556,0.6754523224101019,0.028465414610812007,0.18762564511391722
Noatak,2025-06-10 07:08:17+00:00,7,151.08944444444444,-1.437531515201071,0.19038606848551898,0.39931430977807525
Noatak,2025-06-21 05:31:07+00:00,8,238.3711111111111,0.6608042133797426,0.09400033683437865,0.1835567259388174
Noatak,2025-08-12 21:24:07+00:00,3,48.01694444444445,-7.449967454317681,0.9995364469090677,2.069435403977134
Noatak,2025-08-16 04:27:48+00:00,4,72.02972222222222,-5.906724369875856,0.8317741000574951,1.6407567694099598
Noatak,2025-08-22 19:46:23+00:00,15,389.46,-0.437796532682974,0.08948002807827597,0.12161014796749278
Noatak,2025-09-12 16:31:26+00:00,3,48.01777777777778,-9.66903434068705,0.9843196411223298,2.6858428724130694
Noatak,2026-06-04 06:58:51+00:00,3,48.01888888888889,-5.477368983706838,0.9727827138580856,1.5214913843630105
Noatak,2026-06-12 22:18:31+00:00,8,238.37055555555557,0.22891055681810651,0.012725806860203921,0.06358626578280736
Noatak,2026-07-24 15:48:39+00:00,5,103.07277777777777,-1.1400834660016332,0.0391660234335116,0.3166898516671203
Noatak,2026-08-05 21:14:07+00:00,3,48.01861111111111,-5.277466797250461,0.7712898143451016,1.465962999236239
Noatak,2026-08-14 12:33:46+00:00,3,55.05305555555555,5.8458220944793595,0.3464209313803019,1.623839470688711
Noatak,2026-08-23 10:55:31+00:00,3,48.01694444444445,-4.328979727947722,0.9152624828237629,1.202494368874367
Noatak,2026-08-26 17:59:11+00:00,3,48.01888888888889,-5.1976723154390285,0.7451850937911675,1.44379786539973
Noatak,2026-09-04 09:18:50+00:00,4,79.06166666666667,0.28418419210935253,0.002027337636417048,0.07894005336370903
Noatak,2026-09-12 07:40:00+00:00,4,72.02694444444444,-6.794544440383017,0.9400677228155211,1.8873734556619493
