,Noatak,Kobuk,Selawik,Buckland,Squirrel,Wulik
Noatak,1.0,0.7616420377201035,0.5041443876833024,0.548098463956531,0.8066102815343608,0.6918871592345059
Kobuk,0.7616420377201035,1.0,0.781580719017138,0.5551819546239656,0.8621123277372863,0.34583091270371397
Selawik,0.5041443876833024,0.781580719017138,1.0,0.6161719166870426,0.756167967866878,0.23267397586776178
Buckland,0.548098463956531,0.5551819546239656,0.6161719166870426,1.0,0.5300184154620233,0.31493639973411924
Squirrel,0.8066102815343608,0.8621123277372863,0.756167967866878,0.5300184154620233,1.0,0.5353101939055293
Wulik,0.6918871592345059,0.34583091270371397,0.23267397586776178,0.31493639973411924,0.5353101939055293,1.0
