time,x_peak_km,L_km,dt_hr,eta_peak,celerity_ms
2023-06-09 01:10:31+00:00,198.84303703225692,75.34806054737334,47.82472222222222,0.5677499999999993,0.4376401126066442
2023-06-10 01:01:09+00:00,198.84303703225692,75.34806054737334,36.73083333333334,0.9377600000000008,0.5698214529677105
2023-06-29 21:53:47+00:00,198.63715278930843,75.14217630442485,47.853611111111114,0.8769649999999984,0.4361808078133245
2023-07-06 20:48:12+00:00,198.63715278930843,75.14217630442485,47.946666666666665,0.5714199999999998,0.4353342620528878
2023-07-07 20:38:51+00:00,328.33222660519976,204.83725012031618,40.1025,1.1924700000000001,1.4188451130112156
2023-07-08 20:29:28+00:00,331.5507873273009,208.05581084241732,47.75888888888889,1.3375275000000002,1.2101052209153462
2023-07-09 20:20:06+00:00,331.5507873273009,208.05581084241732,47.915,1.6168475000000022,1.2061625960463398
2023-07-10 20:10:44+00:00,204.0178112333447,80.52283474846112,33.82111111111111,1.1541750000000004,0.6613459274981203
2023-08-22 13:27:44+00:00,311.16193917925887,187.6669626943753,32.78777777777778,1.0717575000000004,1.5899129307531201
2023-08-27 20:33:09+00:00,190.4864221943303,66.99144570944671,47.4475,1.7308400000000006,0.39219632054988673
2023-08-28 20:33:41+00:00,190.8958328652441,67.40085638036052,47.93861111111111,2.181189999999999,0.390550741285791
2024-05-30 17:36:37+00:00,190.4864221943303,66.99144570944671,46.639722222222225,0.6217049999999995,0.39898897404719813
2024-05-31 17:37:12.500000+00:00,175.2669112108137,51.77193472593012,47.87986111111111,2.407072500000001,0.30035786749781784
2024-06-09 15:58:49+00:00,336.5214817148105,213.0265052299269,34.26972222222222,1.0163899999999977,1.7267145863284474
2024-08-16 13:19:29+00:00,190.4864221943303,66.99144570944671,47.92527777777778,0.7056700000000005,0.3882864280010358
2024-08-22 04:36:53+00:00,190.27485227914624,66.77987579426267,42.88527777777778,3.1654599999999995,0.43254856817130116
2025-06-10 07:08:02+00:00,286.89164062761347,163.3966641427299,47.86611111111111,1.1819425,0.9482274872197326
2025-06-14 14:12:55+00:00,533.7640371103754,410.2690606254918,47.78472222222222,0.6202450000000113,2.384938588144118
2025-08-27 02:50:57+00:00,241.63996679492993,118.14499031004635,35.15083333333333,1.9966399999999993,0.9336351304303389
2025-08-31 18:07:44+00:00,359.8452286711908,236.35025218630722,46.12111111111111,2.9651599999999974,1.4234879916783543
2025-09-01 18:08:22+00:00,190.27485227914624,66.77987579426267,45.86055555555556,3.60722,0.4044862796294484
2026-06-04 06:59:14+00:00,474.7985965069178,351.30362002203424,39.26277777777778,0.8809424999999891,2.4854160713570543
2026-08-05 21:14:28+00:00,460.9124079998009,337.4174315149173,47.75888888888889,0.5306800000000038,1.9625051271137273
2026-08-06 21:15:00+00:00,416.7818672011795,293.28689071629594,48.0,0.5211850000000027,1.6972620990526384
2026-08-21 10:54:02+00:00,459.3369354222096,335.841958937326,47.849444444444444,1.1074600000000032,1.9496450611137133
2026-09-11 07:39:08+00:00,376.26962922584,252.7746527409564,47.84777777777778,0.6019999999999968,1.467470059801665
2026-09-12 07:39:45+00:00,189.46596106281476,65.97098457793118,47.5875,1.58188,0.38508586275534057
