region,lag,n,r_raw,r_partial
Hotham Inlet,0,12,-0.23655435887011375,-0.14143738421690366
Hotham Inlet,1,12,-0.3779509013360273,-0.3740341006626501
Inner sound,0,12,0.013244611492395546,0.21540840353398774
Inner sound,1,12,-0.19714374057149797,-0.29782696071444137
Outer sound,0,12,0.058067380461449346,0.4433142718320866
Outer sound,1,12,-0.0741119720130289,-0.7039974276855722
