year,n,filled,doy_peak,eta_p95
2023,58649,0.2407170294494238,240,1.1328060000000049
2024,92954,0.45531370038412294,237,1.4717504999999909
2025,85796,0.4537772087067862,239,1.8099618750000026
2026,85784,0.43021766965428937,257,0.8605264999999995
