basin,lag_w,r,p,n
Hotham Inlet,0,0.8489826803416447,1.6422694777315425e-20,70
Hotham Inlet,1,0.5399468234194533,1.4074301394991394e-06,70
Hotham Inlet,2,0.13673765130039345,0.2590068847389502,70
Hotham Inlet,3,-0.1600560891708771,0.18564772192816267,70
Selawik Lake,0,0.8669281686056052,3.029320159911966e-22,70
Selawik Lake,1,0.6825711680173755,7.623678001070602e-11,70
Selawik Lake,2,0.2628534043783961,0.02792016249691993,70
Selawik Lake,3,-0.057403059148828525,0.6369193578926295,70
